feature              value                               n  precision   recall       f1
----------------------------------------------------------------------------------------
sex                  Female                           2222      0.740    0.544    0.627
sex                  Male                             4291      0.728    0.618    0.669
sex                  [ALL]                            6513      0.730    0.607    0.663
----------------------------------------------------------------------------------------
native-country       ?                                 127      0.750    0.724    0.737
native-country       Cambodia                            4      1.000    1.000    1.000
native-country       Canada                             25      0.750    0.375    0.500
native-country       China                              23      0.700    1.000    0.824
native-country       Columbia                            9      1.000    1.000    1.000
native-country       Cuba                               22      0.600    0.750    0.667
native-country       Dominican-Republic                 14      1.000    1.000    1.000
native-country       Ecuador                             4      1.000    1.000    1.000
native-country       El-Salvador                        22      1.000    1.000    1.000
native-country       England                            17      1.000    0.500    0.667
native-country       France                              4      1.000    0.667    0.800
native-country       Germany                            43      1.000    0.400    0.571
native-country       Greece                              4      1.000    1.000    1.000
native-country       Guatemala                          17      1.000    1.000    1.000
native-country       Haiti                               6      1.000    1.000    1.000
native-country       Holand-Netherlands                  1      1.000    1.000    1.000
native-country       Honduras                            2      1.000    1.000    1.000
native-country       Hong                                1      1.000    1.000    1.000
native-country       Hungary                             4      1.000    1.000    1.000
native-country       India                              18      0.429    0.600    0.500
native-country       Iran                                7      0.400    1.000    0.571
native-country       Ireland                             3      1.000    0.500    0.667
native-country       Italy                              12      1.000    0.000    0.000
native-country       Jamaica                            19      0.500    0.333    0.400
native-country       Japan                              15      0.333    0.333    0.333
native-country       Laos                                4      0.000    1.000    0.000
native-country       Mexico                            116      0.750    0.429    0.545
native-country       Nicaragua                           6      1.000    0.000    0.000
native-country       Outlying-US(Guam-USVI-etc)          3      1.000    1.000    1.000
native-country       Peru                                5      1.000    1.000    1.000
native-country       Philippines                        35      0.833    0.667    0.741
native-country       Poland                             15      0.000    0.000    0.000
native-country       Portugal                            4      1.000    1.000    1.000
native-country       Puerto-Rico                        22      0.500    0.500    0.500
native-country       South                              14      0.500    0.500    0.500
native-country       Taiwan                             11      0.800    0.800    0.800
native-country       Thailand                            2      1.000    1.000    1.000
native-country       Trinadad&Tobago                     3      1.000    1.000    1.000
native-country       United-States                    5835      0.732    0.608    0.664
native-country       Vietnam                            13      0.500    1.000    0.667
native-country       Yugoslavia                          2      0.500    1.000    0.667
native-country       [ALL]                            6513      0.730    0.607    0.663
----------------------------------------------------------------------------------------
